SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,C,N/A,25.0179999987304,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,35,25.0979999987321,0.12,Agent,0,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,N/A,25.2239999987214,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,23,25.263999998715,0.12,Patient,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,25.3899999987043,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,52,25.5099999986996,0.12,Patient,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,25.6359999986889,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,7,25.7159999986907,0.12,Patient,0,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,25.84199999868,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,60,25.8819999986736,0.12,Patient,0,Melissa Oval is balancing Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,26.0079999986629,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,41,26.2079999986599,0.12,Patient,0,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,N/A,26.3339999986492,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3,26.4539999986446,0.12,Patient,0,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,40,26.5799999986339,0.12,Patient,0,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,26.7059999986232,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,38,26.7459999986168,0.12,Agent,1,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle
reference,2,C,N/A,26.871999998606,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,59,27.0319999986095,0.12,Agent,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,27.1579999985988,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,5,27.3979999986041,0.12,Patient,1,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,27.5239999985934,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,49,27.7239999985904,0.12,Patient,0,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,27.8499999985797,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,27,28.2499999985739,0.12,Patient,1,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,28.3759999985632,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,6,28.5359999985667,0.12,Patient,1,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval
reference,2,C,15,28.661999998556,0.12,Patient,1,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval
reference,2,C,N/A,28.7879999985453,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,31,28.867999998547,0.12,Patient,1,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square
reference,2,C,56,28.9939999985363,0.12,Patient,0,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,29.1199999985256,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
