SubjID,List,Run,Order,TrialNum,Item,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
4,1,1,1,31,34,ActPas_SEM_DIFF,passive,1,occ-name,NA,,,,
4,1,1,1,32,69,ActPas_SEM_DIFF,PP,1,name-occ,obj_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,33,7,ActPas_SEM_DIFF,active,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,34,26,ActPas_SEM_DIFF,passive,0,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,35,65,ActPas_SEM_DIFF,PP,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,36,9,ActPas_SEM_DIFF,active,1,name-occ,verb_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,37,23,ActPas_SEM_DIFF,passive,0,name-occ,NA,,,,
4,1,1,1,38,53,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,39,56,ActPas_SEM_DIFF,DblObj,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,40,28,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
