SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,C,N/A,16.7619999992312,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,20,16.9219999992347,0.12,Patient,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
reference,1,C,56,17.047999999224,0.12,Agent,1,Lily Triangle is being shaken by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,17.1739999992133,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,3,17.2939999992086,0.12,Agent,1,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval
reference,1,C,N/A,17.4199999991979,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,7,17.4999999991996,0.12,Agent,1,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,17.6259999991889,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,44,17.9859999991895,0.12,Agent,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
reference,1,C,N/A,18.1119999991788,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,27,18.3119999991759,0.12,Agent,0,Lily Triangle is shaking Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,1,C,N/A,18.4379999991652,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,33,18.4779999991588,0.12,Patient,1,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval
reference,1,C,11,18.6039999991481,0.12,Patient,1,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star
reference,1,C,N/A,18.7299999991374,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,31,18.769999999131,0.12,Agent,0,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square
reference,1,C,N/A,18.8959999991202,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
